work,year
History of British India,1817
Minutes on Indian Education,1835
Rajmohan’s Wife,1864
Anandamath,1882
Ballad of East and West,1889
Heart of Darkness,1899
Hind Swaraj,1909
Love Song of J. Alfred Prufrock,1915
Nationalism,1917
Things Fall Apart (Poem),1919
Kanthapura,1938
Black Skin, White Mask,1952
Waiting for Mahatma,1955
Things Fall Apart,1958
A Dying Colonialism,1959
Madness and Civilisation,1961
The Wretched of the Earth,1961
A Far Cry from Africa,1962
Dream on Monkey Mountain,1967
The Mimic Men,1967
The Bluest Eye,1970
Orientalism,1978
Midnight’s Children,1981
A House for Mr. Biswas,1983
Can the subalterns speak,1985
African Perspective on Colonialism,1987
Beloved,1987
Image of Africa,1988
The Shadow Lines,1988
Omeros,1990
Imaginary Homelands,1992
Culture and Imperialism,1993
The Calcutta Chromosome,1995
Interpreter of Maladies,1999
The Namesake,2003
Hungry Tide,2004
Sea of Poppies,2008

